iter	Passed	Remaining
698	9913	4269
699	9926	4254
700	9939	4239
701	9952	4224
702	9965	4210
703	9978	4195
704	9992	4181
705	10007	4167
706	10020	4152
707	10033	4138
708	10048	4124
709	10061	4109
710	10075	4095
711	10087	4080
712	10101	4065
713	10114	4051
714	10128	4037
715	10141	4022
716	10154	4007
717	10166	3993
718	10182	3979
719	10196	3965
720	10209	3950
721	10223	3936
722	10236	3921
723	10250	3907
724	10263	3892
725	10276	3878
726	10290	3864
727	10304	3850
728	10319	3836
729	10333	3821
730	10345	3806
731	10358	3792
732	10371	3777
733	10385	3763
734	10398	3749
735	10411	3734
736	10424	3720
737	10438	3705
738	10451	3691
739	10465	3677
740	10479	3662
741	10491	3648
742	10506	3634
743	10524	3621
744	10538	3607
745	10551	3592
746	10565	3578
747	10578	3563
748	10590	3548
749	10603	3534
750	10616	3520
751	10630	3505
752	10644	3491
753	10658	3477
754	10672	3463
755	10686	3449
756	10700	3434
757	10714	3420
758	10727	3406
759	10740	3391
760	10753	3377
761	10766	3362
762	10779	3348
763	10792	3333
764	10804	3319
765	10816	3304
766	10830	3290
767	10843	3275
768	10856	3261
769	10869	3246
770	10882	3232
771	10895	3217
772	10908	3203
773	10921	3189
774	10935	3174
775	10948	3160
776	10961	3146
777	10974	3131
778	10987	3117
779	10999	3102
780	11013	3088
781	11027	3074
782	11039	3059
783	11051	3044
784	11064	3030
785	11078	3016
786	11091	3001
787	11104	2987
788	11117	2973
789	11130	2958
790	11142	2944
791	11155	2929
792	11167	2915
793	11180	2900
794	11192	2886
795	11206	2871
796	11219	2857
797	11232	2843
798	11244	2828
799	11257	2814
800	11270	2799
801	11283	2785
802	11295	2771
803	11307	2756
804	11319	2742
805	11332	2727
806	11346	2713
807	11359	2699
808	11371	2684
809	11384	2670
810	11398	2656
811	11411	2641
812	11423	2627
813	11436	2613
814	11451	2599
815	11464	2585
816	11477	2570
817	11488	2556
818	11501	2541
819	11514	2527
820	11527	2513
821	11539	2498
822	11551	2484
823	11564	2470
824	11577	2455
825	11590	2441
826	11603	2427
827	11615	2412
828	11628	2398
829	11641	2384
830	11654	2370
831	11667	2355
832	11679	2341
833	11691	2327
834	11704	2312
835	11717	2298
836	11728	2284
837	11741	2269
838	11753	2255
839	11765	2241
840	11777	2226
841	11790	2212
842	11802	2198
843	11815	2183
844	11827	2169
845	11840	2155
846	11852	2141
847	11866	2126
848	11878	2112
849	11890	2098
850	11902	2084
851	11915	2069
852	11927	2055
853	11940	2041
854	11952	2027
855	11964	2012
856	11976	1998
857	11988	1984
858	12001	1969
859	12013	1955
860	12026	1941
861	12037	1927
862	12049	1912
863	12060	1898
864	12072	1884
865	12084	1869
866	12096	1855
867	12107	1841
868	12118	1826
869	12130	1812
870	12142	1798
871	12153	1783
872	12164	1769
873	12176	1755
874	12187	1741
875	12198	1726
876	12210	1712
877	12222	1698
878	12233	1683
879	12244	1669
880	12256	1655
881	12268	1641
882	12280	1627
883	12292	1612
884	12303	1598
885	12315	1584
886	12327	1570
887	12339	1556
888	12351	1542
889	12362	1527
890	12375	1513
891	12387	1499
892	12399	1485
893	12411	1471
894	12424	1457
895	12437	1443
896	12449	1429
897	12462	1415
898	12473	1401
899	12485	1387
900	12498	1373
901	12510	1359
902	12523	1345
903	12534	1331
904	12546	1317
905	12557	1302
906	12568	1288
907	12580	1274
908	12591	1260
909	12604	1246
910	12615	1232
911	12626	1218
912	12638	1204
913	12650	1190
914	12661	1176
915	12673	1162
916	12685	1148
917	12697	1134
918	12709	1120
919	12721	1106
920	12734	1092
921	12747	1078
922	12761	1064
923	12772	1050
924	12785	1036
925	12798	1022
926	12810	1008
927	12822	994
928	12835	980
929	12847	967
930	12860	953
931	12872	939
932	12884	925
933	12898	911
934	12912	897
935	12925	883
936	12937	869
937	12948	855
938	12961	842
939	12976	828
940	12992	814
941	13009	800
942	13023	787
943	13040	773
944	13056	759
945	13072	746
946	13088	732
947	13105	718
948	13118	705
949	13134	691
950	13148	677
951	13164	663
952	13180	650
953	13192	636
954	13207	622
955	13221	608
956	13236	594
957	13251	580
958	13266	567
959	13281	553
960	13293	539
961	13306	525
962	13318	511
963	13331	497
964	13343	483
965	13355	470
966	13368	456
967	13380	442
968	13392	428
969	13404	414
970	13417	400
971	13430	386
972	13444	373
973	13456	359
974	13469	345
975	13482	331
976	13495	317
977	13507	303
978	13518	289
979	13531	276
980	13544	262
981	13556	248
982	13568	234
983	13580	220
984	13592	206
985	13604	193
986	13615	179
987	13629	165
988	13641	151
989	13653	137
990	13665	124
991	13677	110
992	13689	96
993	13702	82
994	13714	68
995	13727	55
996	13739	41
997	13750	27
998	13760	13
999	13772	0
